text,rating,category_clean,product_name,cluster
barang Sudah sampaiiiiiiiiiii.....,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
cocok                  .,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,3
"Mantaaap bos, pengiriman juga cepat",5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
"Kualitas barang baik, penjual ramah. Sudah sering order dan alhamdulillah selalu lancar",5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
barang sudah di terima gan. thx,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
recommended seller.........................,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
O k o k o k o k o k o k o k,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
Barang sesuai pesanan. Pengiriman sangat cepat. Puas.,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
cepat pengirimannya dan packingnya rapih,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
"Cepat pengirimannya dan barang sesuai deskripsi, ori pstinya",5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
barang sudah sampai ya gan,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
Good and cheap item. Fast respon and service. Thx seller and Toped.,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
sip dehhhhhhhhhhhhhhhhhhhhgggh,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
barang sudah diterima. oke sesuai harga,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
Produk yang diterima sesuai dengan yang tertera pada deskripsi produk. Bahan produk kuat dan tidak rentan dengan debu atau kotoran. Produk juga dapat berfungsi dengan baik saat digunakan indoor ataupun outdoor. Penjual sangat cepat menjawab pertanyaan saya selama proses transaksi. Saya senang berbelanja di toko ini.,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,3
selalu langganan recommended bgt,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
"respon cepat, kirim cepat, barang bagus. repeat order",4.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
sesuai                          .,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,1
"barang sesuai,  cepat sampe nya",5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
sangat memuaskannnnnnnnnnnn dan ok pnya,4.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
"barang bagus,,,sesuai dngn deskripsi, pengiriman cepat",5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
akan langganan sukses terus y makasi,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
"Barang ori sesuai pesanan, terima kasih",5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
A++++++++++++++++++++++++++++++++++?+++,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
"produk ok pelayanan ok, thank you",5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
Pengiriman cepat. Barang bagus,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
barang bagus...sesuai ekspektasi,5.0,elektronik,TINTA / CATRIDGE HP 802 COLOR ORIGINAL 100%,2
Sesuai dengan pesanan thx,5.0,elektronik,TINTA / CATRIDGE HP 932 BLACK ORIGINAL 100%,2
paket udah sampai... makasi ya..,5.0,elektronik,TINTA / CATRIDGE HP 932 BLACK ORIGINAL 100%,2
Fast respon. Barang sudah sampai.,4.0,elektronik,TINTA / CATRIDGE HP 932 BLACK ORIGINAL 100%,2
terima kasih sudah diterima,4.0,elektronik,TINTA / CATRIDGE HP 932 BLACK ORIGINAL 100%,2
Harga murah dan bisa di gunakan dan pasti jadi rutin beli.,5.0,elektronik,TINTA / CATRIDGE HP 932 BLACK ORIGINAL 100%,2
"sudah diterima dengan baik, proses cepat. recommended seller! semoga awet.. terima kasih",5.0,elektronik,TINTA / CATRIDGE HP 933XL CYAN / MAGENTA / YELLOW ORIGINAL 100%,2
Selalu puas blanja disini.........,5.0,elektronik,TINTA / CATRIDGE HP 933XL CYAN / MAGENTA / YELLOW ORIGINAL 100%,2
Harga murah dan bisa di gunakan dan pasti jadi rutin beli.,5.0,elektronik,TINTA / CATRIDGE HP 933XL CYAN / MAGENTA / YELLOW ORIGINAL 100%,2
"Respon cepat, pengiriman lumayan lah, tapi produk blm di coba",3.0,elektronik,TINTA BOTOL HP GT51 BLACK/GT52 CYAN / MAGENTA / YELLOW ORIGINAL 100%,2
"Produk sesuai, Packing aman, Good",5.0,elektronik,TINTA BOTOL HP GT51 BLACK/GT52 CYAN / MAGENTA / YELLOW ORIGINAL 100%,2
Maaf baru kasih ulasan. Barang telah diterima dengan tepat dan rapi,5.0,elektronik,TINTA BOTOL HP GT51 BLACK/GT52 CYAN / MAGENTA / YELLOW ORIGINAL 100%,2
"Recommended seller, pertahankan...",5.0,elektronik,TINTA BOTOL HP GT51 BLACK/GT52 CYAN / MAGENTA / YELLOW ORIGINAL 100%,2
"cepat sampai,, Thanks.",5.0,elektronik,TONER HP LASERJET 85A ORIGINAL 100%,2
Sip.. Barang sesuai pesanan sudah order yang ke 3.....makasih,5.0,elektronik,RIBBON FILM PANASONIC IF 93A 60METER ORIGINAL 100%,2
Terima kasih yaaa.........,5.0,elektronik,RIBBON FILM PANASONIC IF 93A 60METER ORIGINAL 100%,2
barang sesuai deskripsi respon cepat dan packing bagus,5.0,elektronik,RIBBON FILM PANASONIC IF 93A 60METER ORIGINAL 100%,2
barang sesuai pesanan....,4.0,elektronik,RIBBON FILM PANASONIC IF 93A 60METER ORIGINAL 100%,2
respon cepat pengiriman juga cepat. cocok untuk fax saya,5.0,elektronik,RIBBON FILM PANASONIC IF 93A 60METER ORIGINAL 100%,2
"barang sesuai, pengiriman cepat..",5.0,elektronik,RIBBON FILM PANASONIC IF 93A 60METER ORIGINAL 100%,2
barang sudah diterima.. pengiriman cepat.. thx bos..,5.0,elektronik,RIBBON FILM PANASONIC IF 93A 60METER ORIGINAL 100%,2
Barang sesuai pesanan dan Pengiriman cepat.,5.0,elektronik,RIBBON FILM PANASONIC IF 93A 60METER ORIGINAL 100%,2
"barang sampai dengan cepat, biarpun belom coba.. thx..",5.0,elektronik,RIBBON FILM PANASONIC IF 93A 60METER ORIGINAL 100%,2
"produk ori, packing oke",5.0,elektronik,TINTA / CATRIDGE HP 60 COLOR ORIGINAL 100%,2
"produk ori, packing rapi",5.0,elektronik,TINTA / CATRIDGE HP 60 COLOR ORIGINAL 100%,2
Produk ori &amp; sesuai deskripsi. Trims,5.0,elektronik,TINTA / CATRIDGE HP 60 COLOR ORIGINAL 100%,2
"cepat sampai,, Thanks..",5.0,elektronik,TINTA / CATRIDGE HP 60 COLOR ORIGINAL 100%,2
pesanan kedua. smoga stoknya msh ada utk pesanan berikutnya. trims,5.0,elektronik,TINTA / CATRIDGE HP 60 COLOR ORIGINAL 100%,2
barang ori n cepat sampai. thanks,5.0,elektronik,TINTA / CATRIDGE HP 60 COLOR ORIGINAL 100%,2
"Product ori, benerab sunyi mouse nya, gaka bunyi klak klik saat di click, mantab. Fast response, recommended seller",5.0,elektronik,LOGITECH WIRELESS MOUSE M331 ORIGINAL 100%,2
"Terimakasih, sesuai dengan harapan 🙏",5.0,elektronik,LOGITECH WIRELESS MOUSE M331 ORIGINAL 100%,2
"Makasih dh nympi, bagus n asli",5.0,elektronik,LOGITECH WIRELESS KEYBOARD + MOUSE MK220 ORIGINAL 100%,2
"Pengiriman cepat, produk bgs dan asli, berfungsi dgn baik, tq gan",5.0,elektronik,LOGITECH WIRELESS KEYBOARD + MOUSE MK220 ORIGINAL 100%,2
BARANG YG DATANG SUDAH SESUAI PESANAN,5.0,elektronik,LOGITECH WIRELESS KEYBOARD + MOUSE MK220 ORIGINAL 100%,2
Barang sudah diterima dengan baik terimakasih,5.0,elektronik,LOGITECH WIRELESS KEYBOARD + MOUSE MK220 ORIGINAL 100%,2
"Respon cepat, pengiriman cepat. Terima kasih 👍🏼",5.0,elektronik,LOGITECH WIRELESS KEYBOARD + MOUSE MK220 ORIGINAL 100%,2
Mantapppp... Murah asli cepat...,5.0,elektronik,LOGITECH WIRELESS KEYBOARD + MOUSE MK220 ORIGINAL 100%,2
"pelayanannya bagus dan ramah banget.  barang juga bagus, sesuai dgn spesifikasi yg tertera.",5.0,elektronik,LOGITECH WIRELESS KEYBOARD + MOUSE MK220 ORIGINAL 100%,4
responnya cepat.. packingnya rapi... tengkiuhh,5.0,elektronik,LOGITECH KEYBOARD K100 PS2 ORIGINAL 100%,2
Mantap jiwa kualitasnya. empuukkkk silent buat ngetik. josss. terima kasih.,5.0,elektronik,LOGITECH KEYBOARD K100 PS2 ORIGINAL 100%,2
Barang ajibb...  toko bintang 5 . Sukses always utk SJ Com,5.0,elektronik,LOGITECH KEYBOARD K100 PS2 ORIGINAL 100%,2
respon nya sangat cepat,5.0,elektronik,LOGITECH KEYBOARD K120 USB ORIGINAL 100%,2
mantap. sesuai dengan apa yg tertera di deskripsi.  thanks gan. lancar terus dagangannya. :D,5.0,elektronik,LOGITECH KEYBOARD K120 USB ORIGINAL 100%,3
respond dari sellernya cepet banget.... barang belum dicoba karna buat stock. Thanks Seller,4.0,elektronik,LOGITECH KEYBOARD K120 USB ORIGINAL 100%,2
"enak, value for money bagus",4.0,elektronik,LOGITECH KEYBOARD K120 USB ORIGINAL 100%,2
Barang sudah sampai. Terima kasih atas bantuannya.....,5.0,elektronik,MICRO SD V-GEN 16GB TURBO SERIES ORIGINAL 100%,2
Barang sudah sampai. Terima kasih atas bantuannya.....,5.0,elektronik,MICRO SD V-GEN 32GB TURBO SERIES ORIGINAL 100%,2
Berfungsi dgn baik. Trims,5.0,elektronik,CARD READER MURAH,2
Mantap..............,5.0,elektronik,CARD READER MURAH,2
"barang sudah diterima dengan baik dan sesuai pesanan, respon cepat dan pengiriman tepat waktu",5.0,elektronik,CARD READER MURAH,2
"Sudah diterima  & kemasan mulus tanpa lecet, thanks Gan",5.0,elektronik,CARD READER MURAH,2
sellernya fast response dan produknya dijamin original,5.0,elektronik,CARD READER MURAH,2
