text,rating,category_clean,product_name,cluster
"Barang oke, cepet sampeknya",5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
"Barang Dah Di Terima, Kondisi Bagus. thanks Gan Sukses Selalu.",5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
barang oke ..tidak mengecewakan,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
Biar bintang yang berbicara tentang kualitas,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
"Keren,,sehari dah nyampe aja,,,barang sesuai gambar,,ntapzz moga awettt,, recommended dehh",5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
kualitas ok sesuai deskripsi... Top deh pokpknya.,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
Kualitas barang bagus sesuai harapan.. Packing jg sangat rapi.. Top dah pkoknya..,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
"kualitas baik, dapat digunakan dengan nyaman",5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
"barangnya bagus, mulus, real pict. terima kasih",5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,4
keren model bagus ga salah pilih,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
Barang sesuai orderan dan kondisi bagus,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
Barang josss gandosss...,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
Selalu seporty tampil gaya yg makin kece pastinya,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
Produk hebat persis apa yang saya inginkan.,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
Arloji sangat bagus. Saya suka band yang bisa disesuaikan.,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
Jam tangan ini sangat pas dan terlihat lebih baik!,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
Saya mendapatkan pujian di jam tangan ini sepanjang waktu.,5.0,fashion,JAM TANGAN WANITA FASHION RUBBER ANAK QQ Q&amp;Q QNQ TALI KARET JAM - Hitam,2
